Renewable,LC,Main,LS,Bmode
90,7,1.000000,5,-1
91,0,1.000000,0,1
91,1,1.800000,1,1
91,2,2.000000,2,0
91,3,1.800000,3,-1
91,4,1.200000,4,0
91,5,2.000000,5,0
91,6,0.200000,4,-1
91,7,1.000000,5,-1
92,0,1.000000,0,1
92,1,1.800000,1,1
92,2,2.000000,2,0
92,3,1.800000,3,-1
92,4,1.200000,4,0
92,5,2.000000,5,0
92,6,0.200000,4,-1
92,7,1.000000,5,-1
93,0,1.000000,0,1
93,1,1.800000,1,1
93,2,2.000000,2,0
93,3,1.800000,3,-1
93,4,1.200000,4,0
93,5,2.000000,5,0
93,6,0.200000,4,-1
93,7,1.000000,5,-1
94,0,1.000000,0,1
94,1,1.800000,1,1
94,2,2.000000,2,0
94,3,1.800000,3,-1
94,4,1.200000,4,0
94,5,2.000000,5,0
94,6,0.200000,4,-1
94,7,1.000000,5,-1
95,0,1.000000,0,1
95,1,1.800000,1,1
95,2,2.000000,2,0
95,3,1.800000,3,-1
95,4,1.200000,4,0
95,5,2.000000,5,0
95,6,0.200000,4,-1
95,7,1.000000,5,-1
96,0,1.000000,0,1
96,1,1.800000,1,1
96,2,2.000000,2,0
96,3,1.800000,3,-1
96,4,1.200000,4,0
96,5,2.000000,5,0
96,6,0.200000,4,-1
96,7,1.000000,5,-1
97,0,1.000000,0,1
97,1,1.800000,1,1
97,2,2.000000,2,0
97,3,1.800000,3,-1
97,4,1.200000,4,0
97,5,2.000000,5,0
97,6,0.200000,4,-1
97,7,1.000000,5,-1
98,0,1.000000,0,1
98,1,1.800000,1,1
98,2,2.000000,2,0
98,3,1.800000,3,-1
98,4,1.200000,4,0
98,5,2.000000,5,0
98,6,0.200000,4,-1
98,7,1.000000,5,-1
99,0,1.000000,0,1
99,1,1.800000,1,1
99,2,2.000000,2,0
99,3,1.800000,3,-1
99,4,1.200000,4,0
99,5,2.000000,5,0
99,6,0.200000,4,-1
99,7,1.000000,5,-1
100,0,0.000000,0,1
100,1,0.800000,1,1
100,2,1.000000,2,0
100,3,1.800000,3,0
100,4,1.200000,4,1
100,5,1.000000,5,0
100,6,1.200000,6,-1
100,7,2.000000,7,-1
101,0,0.000000,0,1
101,1,0.800000,1,1
101,2,1.000000,2,0
101,3,1.800000,3,0
101,4,1.200000,4,1
101,5,1.000000,5,0
101,6,1.200000,6,-1
101,7,2.000000,7,-1
102,0,0.000000,0,1
102,1,0.800000,1,1
102,2,1.000000,2,0
102,3,1.800000,3,0
102,4,1.200000,4,1
102,5,1.000000,5,0
102,6,1.200000,6,-1
102,7,2.000000,7,-1
103,0,0.000000,0,1
103,1,0.800000,1,1
103,2,1.000000,2,0
103,3,1.800000,3,0
103,4,1.200000,4,1
103,5,1.000000,5,0
103,6,1.200000,6,-1
103,7,2.000000,7,-1
104,0,0.000000,0,1
104,1,0.800000,1,1
104,2,1.000000,2,0
104,3,1.800000,3,0
104,4,1.200000,4,1
104,5,1.000000,5,0
104,6,1.200000,6,-1
104,7,2.000000,7,-1
105,0,0.000000,0,1
105,1,0.800000,1,1
105,2,1.000000,2,0
105,3,1.800000,3,0
105,4,1.200000,4,1
105,5,1.000000,5,0
105,6,1.200000,6,-1
105,7,2.000000,7,-1
106,0,0.000000,0,1
106,1,0.800000,1,1
106,2,1.000000,2,0
106,3,1.800000,3,0
106,4,1.200000,4,1
106,5,1.000000,5,0
106,6,1.200000,6,-1
106,7,2.000000,7,-1
107,0,0.000000,0,1
107,1,0.800000,1,1
107,2,1.000000,2,0
107,3,1.800000,3,0
107,4,1.200000,4,1
107,5,1.000000,5,0
107,6,1.200000,6,-1
107,7,2.000000,7,-1
108,0,0.000000,0,1
108,1,0.800000,1,1
108,2,1.000000,2,0
108,3,1.800000,3,0
108,4,1.200000,4,1
108,5,1.000000,5,0
108,6,1.200000,6,-1
108,7,2.000000,7,-1
109,0,0.000000,0,1
109,1,0.800000,1,1
109,2,1.000000,2,0
109,3,1.800000,3,0
109,4,1.200000,4,1
109,5,1.000000,5,0
109,6,1.200000,6,-1
109,7,2.000000,7,-1
110,0,0.000000,0,1
110,1,0.800000,1,1
110,2,1.000000,2,0
110,3,1.800000,3,0
110,4,1.200000,4,1
110,5,1.000000,5,0
110,6,1.200000,6,-1
110,7,2.000000,7,-1
111,0,0.000000,0,1
111,1,0.800000,1,1
111,2,1.000000,2,0
111,3,1.800000,3,0
111,4,1.200000,4,1
